NO,TICKET,WEEK,SEVERITY,CLIENT,SITE,SOURCE,INCIDENT START,INCIDENT END,SERVICE-IMPACT START (8AM-10PM),SERVICE-IMPACT END (8AM-10PM),SERVICE DOWNTIME,ONSITE,ROOT CAUSE,REMARKS,REVISED BY,,,,,,,,,,
66,194190,2,3,Daiso,Vinx::Daiso::5155_Daiso Bele Time,Monitoring,03/11/2020 11:53:00,03/11/2020 16:39:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Telco Outage,"Telco outage (power outage at CGRD), link is up once power resumed at CGRD",Wany,,,,,,,,,,
67,194192,2,3,Wellness,Vinx::Wellness::5028_Wellness AMY Taiping,Monitoring,03/11/2020 13:05:00,03/11/2020 13:23:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Backup link up after reset cellular interface,Wany,,,,,,,,,,
68,194217,2,4,,SRAM10225704 — SR: Request New Public IP Address: 202.162.27.113 / 202.162.27.120 At AEON HQ,Client,03/11/2020 16:04:00,03/11/2020 16:08:00,,,0 days 0 hrs 0 mins ,,WAN::WAN - No WAN Issue,Vinx accidently looping helpdesk email into their ticket,Wany,,,,,,,,,,
69,194336,2,3,AMY,Vinx::AMY::1010_AMY Permas Jaya,Monitoring,03/12/2020 16:29:00,03/12/2020 17:26:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Modem Hang,Backup link is up after PIC rebooted YES LTE modem,Wany,,,,,,,,,,
70,194367,2,3,MaxValue,Vinx::MaxValue::3021_MaxValue Danga Bay,Monitoring,03/12/2020 22:30:00,03/13/2020 0:30:00,,,0 days 0 hrs 0 mins ,,WAN::WAN - Planned Maintenance,Planned Maintenance Swing over activity for IPLite primary link. Activity completed successfully ,Wany,,,,,,,,,,
71,194406,2,2,Wellness,Vinx::Wellness::5050_Wellness Sunway Velocity,Monitoring,03/13/2020 0:26:00,03/13/2020 2:58:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Link is up once power resumed,Wany,,,,,,,,,,
72,194415,2,2,Wellness,Vinx::Wellness::5091_Wellness Bele Time,Monitoring,03/13/2020 1:27:00,03/13/2020 1:40:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,"Root Cause: WAN Primary - Session Hang and backup 3g flapped lead site total down
Solution: Link is up once TM reset session and maxis reset cellular connection from base station",Wany,,,,,,,,,,
73,194437,2,3,AMY,Vinx::AMY::1003_AMY Wangsa Maju,Monitoring,03/13/2020 3:30:00,03/13/2020 4:14:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Primary link TM up after telco reset session,Wany,,,,,,,,,,
74,194513,2,3,MaxValue,Vinx::MaxValue::3021_MaxValue Danga Bay,Monitoring,03/13/2020 14:51:00,03/13/2020 19:29:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Modem Hang,Primary link TM up after telco reset session and PIC rebooted TM modem,Wany,,,,,,,,,,
75,194573,2,3,AMY,Vinx::AMY::1012_AMY Seremban 2,Monitoring,03/13/2020 22:50:00,03/13/2020 2:36:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Backup link YZ LTE up by self restored,Wany,,,,,,,,,,
