NO,TICKET,WEEK,SEVERITY,CLIENT,SITE,SOURCE,INCIDENT START,INCIDENT END,SERVICE-IMPACT START (8AM-10PM),SERVICE-IMPACT END (8AM-10PM),SERVICE DOWNTIME,ONSITE,ROOT CAUSE,REMARKS,REVISED BY
92,201222,3,3,AMY,Vinx::AMY::1020_AMY Ampang Utara (AU2),Monitoring,04/18/2020 1:33:00,04/18/2020 2:21:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link up once Tier Team had done bounced Tunnel 7 and reset cellular.,Shalini
93,201276,3,3,AMY,Vinx::AMY::1020_AMY Ampang Utara (AU2),Monitoring,04/18/2020 12:00:00,04/18/2020 12:53:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link is up via self restored,Shalini
94,201419,3,3,Wellness,Vinx::Wellness::5091_Wellness Bele Time (Danga Bay),Monitoring,04/18/2020 19:39:00,04/18/2020 21:40:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link is monitored up and stable after telco reset sim from their end,Shalini
96,201554,3,3,ABG,Vinx::Aeon BIG::0021_ABG Klang,Monitoring,04/19/2020 12:48:00,04/19/2020 14:44:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Modem Hang,Link up once TM modem been rebooted,Shalini
97,201465,3,2,Wellness,Vinx::Wellness::5013_Wellness Permas Jaya,Monitoring,04/19/2020 6:26:00,04/20/2020 14:29:00,04/19/2020 10:00:00,04/19/2020 20:00:00,0 days 10 hrs 0 mins ,,Others::Customer - Power Outage,"Root Cause:  Customer Power Outage ( due to water leakage )
Solution: Link is monitored up after power is restored ",Shalini
98,201612,3,2,Wellness,Vinx::Wellness::5084_Wellness R&F Mall,Monitoring,04/19/2020 16:04:00,04/20/2020 18:46:00,04/19/2020 16:04:00,04/19/2020 20:00:00,0 days 3 hrs 56 mins ,,Others::Customer - Power Outage,"Root Cause: Customer - Power Outage (at ONU)
Solution: Link up after maintenance fixed power trip issue.",Shalini
99,201743,4,3,Daiso,Vinx::Daiso::5121_Daiso AMY Bukit Mertajam,Monitoring,04/20/2020 12:25:00,04/20/2020 19:16:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Modem Hang,Link is up after TM modem is rebooted,Farhan
100,201777,4,3,AMY,Vinx::AMY::1020_AMY Ampang Utara (AU2),Monitoring,04/20/2020 15:13:00,04/20/2020 20:29:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link up and stable once our Tier 2 team bounce the backup tunnel,Farhan
101,201724,4,3,Wellness,Vinx::Wellness::5055_Wellness AMY Cheras Selatan,Monitoring,04/20/2020 8:11:00,,,,0 days 0 hrs 0 mins ,,<Open Ticket>,"Issue: Primary Link TM, suspected faced internal wiring issue.
Update: TMFE attend site today and verified issue involved with internal cabling
Remark: For workaround, we setup YES LTE as Temporary Primary link. Quota still available.
TMFE already attend the site, confirmed the internal cabling having an issue. Done notify Vinx IT Network standby, pending update from them.",Farhan
102,201784,4,2,Wellness,Vinx::Wellness::5084_Wellness R&F Mall,Monitoring,04/20/2020 16:21:00,04/20/2020 16:21:00,04/20/2020 16:21:00,04/20/2020 16:22:00,0 days 0 hrs 1 mins ,,Others::Customer - Power Outage,Link is up once power is restored ,Farhan
